Digits,count,percentage,benford percentage,benford count
1,1652,32.01%,30.1,1553.461
2,1031,19.98%,17.6,908.336
3,604,11.7%,12.5,645.125
4,394,7.63%,9.7,500.61699999999996
5,598,11.59%,7.9,407.719
6,294,5.7%,6.7,345.78700000000003
7,227,4.4%,5.8,299.33799999999997
8,197,3.82%,5.1,263.211
9,164,3.18%,4.6,237.40599999999998
