Digits,count,percentage,benford percentage,benford count
1,166,28.92%,30.1,172.774
2,107,18.64%,17.6,101.02400000000002
3,64,11.15%,12.5,71.75
4,58,10.1%,9.7,55.67799999999999
5,48,8.36%,7.9,45.346000000000004
6,47,8.19%,6.7,38.458
7,30,5.23%,5.8,33.292
8,28,4.88%,5.1,29.273999999999997
9,26,4.53%,4.6,26.403999999999996
