Digits,count,percentage,benford percentage,benford count
1,834,28.47%,30.1,881.6290000000001
2,537,18.33%,17.6,515.504
3,356,12.15%,12.5,366.125
4,265,9.05%,9.7,284.113
5,237,8.09%,7.9,231.39100000000002
6,199,6.79%,6.7,196.243
7,183,6.25%,5.8,169.882
8,170,5.8%,5.1,149.379
9,148,5.05%,4.6,134.734
