Digits,count,percentage,benford percentage,benford count
1,90,30.0%,30.1,90.3
2,44,14.67%,17.6,52.8
3,36,12.0%,12.5,37.5
4,31,10.33%,9.7,29.1
5,28,9.33%,7.9,23.7
6,17,5.67%,6.7,20.1
7,21,7.0%,5.8,17.4
8,21,7.0%,5.1,15.3
9,12,4.0%,4.6,13.8
