Digits,count,percentage,benford percentage,benford count
1,28094,31.33%,30.1,26987.961
2,16124,17.98%,17.6,15780.336000000001
3,10944,12.21%,12.5,11207.625
4,8050,8.98%,9.7,8697.117
5,6886,7.68%,7.9,7083.219
6,5123,5.71%,6.7,6007.287
7,5133,5.72%,5.8,5200.338
8,4831,5.39%,5.1,4572.710999999999
9,4476,4.99%,4.6,4124.406
