Digits,count,percentage,benford percentage,benford count
1,44693,50.73%,30.1,26520.207000000002
2,16776,19.04%,17.6,15506.832000000002
3,8956,10.16%,12.5,11013.375
4,5741,6.52%,9.7,8546.378999999999
5,4065,4.61%,7.9,6960.453
6,2867,3.25%,6.7,5903.169
7,2201,2.5%,5.8,5110.206
8,1643,1.86%,5.1,4493.456999999999
9,1165,1.32%,4.6,4052.9219999999996
