Digits,count,percentage,benford percentage,benford count
1,60399,31.53%,30.1,57651.132000000005
2,32719,17.08%,17.6,33709.632000000005
3,22519,11.76%,12.5,23941.5
4,17639,9.21%,9.7,18578.604
5,14811,7.73%,7.9,15131.028
6,12929,6.75%,6.7,12832.644000000002
7,11206,5.85%,5.8,11108.855999999998
8,10127,5.29%,5.1,9768.132
9,9183,4.79%,4.6,8810.472
