Digits,count,percentage,benford percentage,benford count
1,65,26.21%,30.1,74.648
2,36,14.52%,17.6,43.648
3,39,15.73%,12.5,31.0
4,30,12.1%,9.7,24.055999999999997
5,16,6.45%,7.9,19.592
6,24,9.68%,6.7,16.616
7,23,9.27%,5.8,14.383999999999999
8,9,3.63%,5.1,12.648
9,6,2.42%,4.6,11.408
