Digits,count,percentage,benford percentage,benford count
1,72,27.8%,30.1,77.959
2,49,18.92%,17.6,45.584
3,35,13.51%,12.5,32.375
4,27,10.42%,9.7,25.122999999999998
5,18,6.95%,7.9,20.461000000000002
6,19,7.34%,6.7,17.352999999999998
7,15,5.79%,5.8,15.022
8,10,3.86%,5.1,13.208999999999998
9,14,5.41%,4.6,11.913999999999998
