Digits,count,percentage,benford percentage,benford count
1,350,23.81%,30.1,442.47
2,157,10.68%,17.6,258.72
3,180,12.24%,12.5,183.75
4,177,12.04%,9.7,142.58999999999997
5,161,10.95%,7.9,116.13
6,153,10.41%,6.7,98.49
7,105,7.14%,5.8,85.26
8,103,7.01%,5.1,74.96999999999998
9,84,5.71%,4.6,67.61999999999999
