Digits,count,percentage,benford percentage,benford count
1,301,30.13%,30.1,300.699
2,177,17.72%,17.6,175.824
3,125,12.51%,12.5,124.875
4,95,9.51%,9.7,96.90299999999999
5,80,8.01%,7.9,78.921
6,67,6.71%,6.7,66.933
7,56,5.61%,5.8,57.942
8,53,5.31%,5.1,50.949
9,45,4.5%,4.6,45.95399999999999
