Digits,count,percentage,benford percentage,benford count
1,138,31.58%,30.1,131.537
2,75,17.16%,17.6,76.912
3,55,12.59%,12.5,54.625
4,39,8.92%,9.7,42.388999999999996
5,38,8.7%,7.9,34.523
6,28,6.41%,6.7,29.279
7,27,6.18%,5.8,25.346
8,20,4.58%,5.1,22.287
9,17,3.89%,4.6,20.101999999999997
