Digits,count,percentage,benford percentage,benford count
1,3735,33.26%,30.1,3380.23
2,2183,19.44%,17.6,1976.4800000000002
3,1437,12.8%,12.5,1403.75
4,1035,9.22%,9.7,1089.31
5,867,7.72%,7.9,887.17
6,656,5.84%,6.7,752.41
7,524,4.67%,5.8,651.34
8,412,3.67%,5.1,572.7299999999999
9,381,3.39%,4.6,516.5799999999999
