Digits,count,percentage,benford percentage,benford count
1,78675,31.67%,30.1,74777.731
2,42066,16.93%,17.6,43723.85600000001
3,34848,14.03%,12.5,31053.875
4,21630,8.71%,9.7,24097.806999999997
5,17374,6.99%,7.9,19626.049000000003
6,18469,7.43%,6.7,16644.877
7,13117,5.28%,5.8,14408.998
8,11400,4.59%,5.1,12669.980999999998
9,10852,4.37%,4.6,11427.826
