Digits,count,percentage,benford percentage,benford count
1,332,33.74%,30.1,296.184
2,164,16.67%,17.6,173.18400000000003
3,130,13.21%,12.5,123.0
4,105,10.67%,9.7,95.448
5,72,7.32%,7.9,77.736
6,53,5.39%,6.7,65.928
7,45,4.57%,5.8,57.071999999999996
8,50,5.08%,5.1,50.184
9,33,3.35%,4.6,45.263999999999996
