Digits,count,percentage,benford percentage,benford count
1,407,30.46%,30.1,402.13599999999997
2,232,17.37%,17.6,235.13600000000002
3,181,13.55%,12.5,167.0
4,127,9.51%,9.7,129.59199999999998
5,87,6.51%,7.9,105.544
6,85,6.36%,6.7,89.512
7,78,5.84%,5.8,77.488
8,70,5.24%,5.1,68.136
9,69,5.16%,4.6,61.455999999999996
