age
5
8
2
10
71
1
1
22
33
3
10
59
1
5
1
2
3
1
1
1
3
6
10
5
4
2
1
72
2
3
5
3
54
1
75
37
2
3
6
67
2
40
81
78
3
1
2
2
1
8
8
65
7
8
87
1
1
8
4
1
5
6
14
70
82
32
6
4
82
74
4
2
7
42
87
2
12
83
1
1
1
2
86
6
1
60
64
76
91
4
6
1
7
4
52
3
53
60
78
27
1
2
50
25
3
71
81
30
49
52
2
44
41
2
10
1
2
47
40
4
10
69
6
1
2
50
2
2
90
59
95
71
3
63
63
5
1
6
7
1
6
1
56
91
2
42
73
65
4
11
21
61
2
76
45
1
1
24
2
3
7
5
74
3
1
1
35
6
90
83
1
1
1
5
1
62
2
60
5
4
4
1
8
1
38
80
3
2
1
4
48
41
1
59
10
3
90
20
65
77
1
2
1
2
1
53
85
70
1
49
2
3
56
63
1
57
38
3
1
4
65
1
1
3
33
2
9
30
5
71
2
2
46
69
7
4
85
84
1
53
2
5
79
25
67
55
1
51
5
9
51
76
66
1
47
3
1
50
48
4
89
38
74
1
1
32
4
61
1
50
1
71
1
1
71
58
39
40
84
75
2
6
1
59
1
4
92
1
1
74
1
73
1
65
2
2
1
50
40
23
44
76
4
45
1
82
1
60
54
1
55
1
30
44
34
93
2
8
65
4
91
2
7
1
1
7
38
4
2
35
80
63
5
6
5
63
96
5
2
2
5
56
25
65
4
75
2
1
41
64
87
1
7
63
2
63
78
49
38
81
79
1
7
26
5
3
83
6
71
67
25
25
48
65
65
91
2
60
5
9
57
1
4
22
85
57
2
9
1
7
1
36
92
84
66
58
1
49
45
52
43
7
36
53
1
3
71
52
30
9
83
60
1
2
4
68
6
68
1
6
75
5
21
76
1
82
60
32
59
1
71
1
90
1
65
79
60
4
1
1
1
76
41
61
1
61
7
75
1
65
46
8
24
76
22
69
66
56
3
46
1
1
4
49
1
52
75
6
1
1
28
91
51
6
2
57
64
75
42
64
74
53
58
1
2
55
44
1
45
1
1
77
73
70
70
85
1
1
66
54
77
52
88
88
1
2
53
2
33
1
2
52
14
33
36
2
54
46
45
1
52
40
16
9
19
67
1
4
2
3
21
4
49
41
95
48
45
12
79
44
44
