year,state,name,islmsun
1955,816,DRV,0
1960,816,DRV,0
1965,816,DRV,0
1970,816,DRV,0
1975,816,DRV,0
1980,816,DRV,0
1985,816,DRV,0
1990,816,DRV,0
1995,816,DRV,0
2000,816,DRV,79832
2005,816,DRV,83106
2010,816,DRV,87918
1955,817,RVN,0
1960,817,RVN,0
1965,817,RVN,0
1970,817,RVN,0
1960,820,MAL,0
1965,820,MAL,0
1970,820,MAL,0
1975,820,MAL,0
1980,820,MAL,0
1985,820,MAL,0
1990,820,MAL,9353654
1995,820,MAL,11068112
2000,820,MAL,11900000
2005,820,MAL,13932000
2010,820,MAL,15536700
1965,830,SIN,0
1970,830,SIN,0
1975,830,SIN,0
1980,830,SIN,0
1985,830,SIN,0
1990,830,SIN,0
1995,830,SIN,0
2000,830,SIN,0
2005,830,SIN,0
2010,830,SIN,0
1985,835,BRU,0
1990,835,BRU,0
1995,835,BRU,0
2000,835,BRU,0
2005,835,BRU,0
2010,835,BRU,0
1950,840,PHI,0
1955,840,PHI,0
1960,840,PHI,0
1965,840,PHI,0
1970,840,PHI,0
1975,840,PHI,0
1980,840,PHI,0
1985,840,PHI,0
1990,840,PHI,0
1995,840,PHI,3513350
2000,840,PHI,3825500
2005,840,PHI,4212050
2010,840,PHI,4604898
1950,850,INS,0
1955,850,INS,0
1960,850,INS,0
1965,850,INS,0
1970,850,INS,0
1975,850,INS,0
1990,850,INS,149868311
1995,850,INS,163576155
2000,850,INS,177284000
2005,850,INS,188142000
2010,850,INS,199000000
2005,860,ETM,0
2010,860,ETM,0
1945,900,AUL,0
1950,900,AUL,0
1955,900,AUL,0
1960,900,AUL,0
1965,900,AUL,0
1970,900,AUL,0
1975,900,AUL,0
1980,900,AUL,0
1985,900,AUL,0
1990,900,AUL,0
1995,900,AUL,0
2000,900,AUL,0
2005,900,AUL,0
2010,900,AUL,0
1975,910,PNG,0
1980,910,PNG,0
1985,910,PNG,0
1990,910,PNG,0
1995,910,PNG,0
2000,910,PNG,0
2005,910,PNG,0
2010,910,PNG,0
1945,920,NEW,0
1950,920,NEW,0
1955,920,NEW,0
1960,920,NEW,0
1965,920,NEW,0
1970,920,NEW,0
1975,920,NEW,0
1980,920,NEW,0
1985,920,NEW,0
1990,920,NEW,0
1995,920,NEW,0
2000,920,NEW,0
2005,920,NEW,0
2010,920,NEW,0
1985,935,VAN,0
1990,935,VAN,0
1995,935,VAN,0
2000,935,VAN,0
2005,935,VAN,0
2010,935,VAN,0
1980,940,SOL,0
1985,940,SOL,0
1990,940,SOL,0
1995,940,SOL,0
2000,940,SOL,0
2005,940,SOL,0
2010,940,SOL,0
2000,946,KIR,0
2005,946,KIR,0
2010,946,KIR,0
2000,947,TUV,0
2005,947,TUV,0
2010,947,TUV,0
1970,950,FIJ,0
1975,950,FIJ,0
1980,950,FIJ,0
1985,950,FIJ,0
1990,950,FIJ,0
1995,950,FIJ,0
2000,950,FIJ,0
2005,950,FIJ,0
2010,950,FIJ,0
2000,955,TON,0
2005,955,TON,0
2010,955,TON,0
2000,970,NAU,0
2005,970,NAU,0
2010,970,NAU,0
1995,983,MSI,0
2000,983,MSI,0
2005,983,MSI,0
2010,983,MSI,0
1995,986,PAL,0
2000,986,PAL,0
2005,986,PAL,0
2010,986,PAL,0
1995,987,FSM,0
2000,987,FSM,0
2005,987,FSM,0
2010,987,FSM,0
1980,990,WSM,0
1985,990,WSM,0
1990,990,WSM,0
1995,990,WSM,0
2000,990,WSM,0
2005,990,WSM,0
2010,990,WSM,0
